<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
HDFCBANK,04/20/2021,12:38:00,1405.20,1406.00,1405.00,1405.85,16296,0
HDFCBANK,04/20/2021,12:39:00,1405.75,1407.00,1405.55,1406.90,16727,0
HDFCBANK,04/20/2021,12:40:00,1406.65,1407.50,1405.55,1405.70,12988,0
HDFCBANK,04/20/2021,12:41:00,1405.65,1406.85,1405.65,1406.75,12224,0
HDFCBANK,04/20/2021,12:42:00,1406.75,1407.50,1406.75,1407.35,14507,0
HDFCBANK,04/20/2021,12:43:00,1407.40,1407.40,1405.00,1405.90,26200,0
HDFCBANK,04/20/2021,12:44:00,1406.00,1406.30,1405.00,1406.00,23859,0
HDFCBANK,04/20/2021,12:45:00,1406.10,1406.10,1405.00,1405.75,18999,0
HDFCBANK,04/20/2021,12:46:00,1405.65,1405.80,1404.10,1404.60,18442,0
HDFCBANK,04/20/2021,12:47:00,1404.20,1405.55,1404.05,1405.00,31251,0
HDFCBANK,04/20/2021,12:48:00,1405.35,1406.25,1405.00,1406.25,19418,0
HDFCBANK,04/20/2021,12:49:00,1406.20,1407.25,1406.00,1406.00,12011,0
HDFCBANK,04/20/2021,12:50:00,1406.35,1407.50,1406.10,1407.50,13711,0
HDFCBANK,04/20/2021,12:51:00,1407.50,1408.30,1407.05,1407.15,18985,0
HDFCBANK,04/20/2021,12:52:00,1407.10,1408.00,1406.75,1407.15,13565,0
HDFCBANK,04/20/2021,12:53:00,1407.05,1408.50,1406.85,1408.20,10683,0
HDFCBANK,04/20/2021,12:54:00,1408.20,1408.40,1407.10,1408.40,15358,0
HDFCBANK,04/20/2021,12:55:00,1408.40,1409.50,1408.10,1409.10,15946,0
HDFCBANK,04/20/2021,12:56:00,1409.20,1409.20,1406.80,1406.85,18070,0
HDFCBANK,04/20/2021,12:57:00,1406.70,1407.25,1406.70,1407.00,7628,0
HDFCBANK,04/20/2021,12:58:00,1407.00,1407.00,1406.00,1406.40,7997,0
HDFCBANK,04/20/2021,12:59:00,1406.40,1406.60,1404.80,1405.15,20948,0
HDFCBANK,04/20/2021,13:00:00,1404.80,1405.30,1404.50,1404.90,18354,0
HDFCBANK,04/20/2021,13:01:00,1404.50,1405.00,1404.10,1404.40,12718,0
HDFCBANK,04/20/2021,13:02:00,1404.10,1404.45,1402.00,1403.25,37343,0
HDFCBANK,04/20/2021,13:03:00,1403.45,1404.75,1402.70,1404.75,17534,0
HDFCBANK,04/20/2021,13:04:00,1404.55,1404.95,1404.00,1404.80,12212,0
HDFCBANK,04/20/2021,13:05:00,1404.80,1405.40,1404.20,1405.20,19590,0
HDFCBANK,04/20/2021,13:06:00,1405.15,1405.15,1403.95,1404.30,18748,0
HDFCBANK,04/20/2021,13:07:00,1404.25,1404.90,1404.25,1404.55,13192,0
HDFCBANK,04/20/2021,13:08:00,1404.55,1405.60,1404.25,1405.00,14787,0
HDFCBANK,04/20/2021,13:09:00,1405.00,1405.45,1404.55,1404.90,14752,0
HDFCBANK,04/20/2021,13:10:00,1404.80,1404.80,1403.10,1403.70,20828,0
HDFCBANK,04/20/2021,13:11:00,1403.55,1404.35,1403.55,1404.15,7737,0
HDFCBANK,04/20/2021,13:12:00,1404.15,1406.50,1403.15,1405.80,30175,0
HDFCBANK,04/20/2021,13:13:00,1405.80,1405.80,1404.10,1404.30,14921,0
HDFCBANK,04/20/2021,13:14:00,1404.30,1405.00,1403.65,1405.00,9522,0
HDFCBANK,04/20/2021,13:15:00,1404.95,1405.00,1404.05,1405.00,10360,0
HDFCBANK,04/20/2021,13:16:00,1405.00,1405.50,1404.95,1405.05,10287,0
HDFCBANK,04/20/2021,13:17:00,1405.05,1406.70,1405.00,1406.70,10437,0
HDFCBANK,04/20/2021,13:18:00,1406.75,1406.80,1406.00,1406.40,13384,0
HDFCBANK,04/20/2021,13:19:00,1406.40,1406.70,1406.00,1406.15,15670,0
HDFCBANK,04/20/2021,13:20:00,1406.15,1406.15,1404.90,1406.00,17121,0
HDFCBANK,04/20/2021,13:21:00,1405.95,1406.45,1405.20,1406.45,11419,0
HDFCBANK,04/20/2021,13:22:00,1406.40,1406.50,1405.40,1405.90,9633,0
HDFCBANK,04/20/2021,13:23:00,1405.95,1408.75,1405.10,1408.00,38945,0
HDFCBANK,04/20/2021,13:24:00,1408.40,1408.50,1407.85,1408.35,16819,0
HDFCBANK,04/20/2021,13:25:00,1408.35,1408.35,1406.80,1407.40,15378,0
HDFCBANK,04/20/2021,13:26:00,1407.40,1408.15,1407.15,1407.30,11551,0
HDFCBANK,04/20/2021,13:27:00,1407.70,1407.70,1407.20,1407.50,11192,0
HDFCBANK,04/20/2021,13:28:00,1407.50,1407.50,1405.60,1406.10,15726,0
HDFCBANK,04/20/2021,13:29:00,1406.05,1406.05,1405.00,1405.35,18936,0
HDFCBANK,04/20/2021,13:30:00,1405.40,1406.00,1404.35,1404.40,17458,0
HDFCBANK,04/20/2021,13:31:00,1404.00,1405.00,1404.00,1404.30,17087,0
HDFCBANK,04/20/2021,13:32:00,1404.30,1404.30,1403.25,1403.95,20345,0
HDFCBANK,04/20/2021,13:33:00,1403.90,1404.75,1403.50,1404.00,23335,0
HDFCBANK,04/20/2021,13:34:00,1404.00,1404.50,1403.30,1404.15,16557,0
HDFCBANK,04/20/2021,13:35:00,1404.05,1404.80,1403.80,1404.60,14240,0
HDFCBANK,04/20/2021,13:36:00,1404.45,1405.40,1404.10,1405.40,11250,0
HDFCBANK,04/20/2021,13:37:00,1405.40,1406.05,1405.00,1405.30,12395,0
HDFCBANK,04/20/2021,13:38:00,1404.50,1405.30,1404.50,1404.85,13314,0
HDFCBANK,04/20/2021,13:39:00,1404.90,1404.95,1403.10,1403.65,25432,0
HDFCBANK,04/20/2021,13:40:00,1403.80,1404.75,1403.65,1404.70,19745,0
HDFCBANK,04/20/2021,13:41:00,1404.75,1404.75,1404.00,1404.40,7771,0
HDFCBANK,04/20/2021,13:42:00,1404.35,1404.50,1403.95,1404.30,12728,0
HDFCBANK,04/20/2021,13:43:00,1404.00,1404.65,1403.50,1404.65,11619,0
HDFCBANK,04/20/2021,13:44:00,1404.60,1405.10,1404.30,1405.05,8836,0
HDFCBANK,04/20/2021,13:45:00,1405.05,1405.20,1404.30,1404.90,7667,0
HDFCBANK,04/20/2021,13:46:00,1404.80,1405.00,1404.55,1404.80,10622,0
HDFCBANK,04/20/2021,13:47:00,1404.80,1404.85,1404.50,1404.85,7968,0
HDFCBANK,04/20/2021,13:48:00,1404.60,1404.60,1403.50,1403.90,11767,0
