,index,datetime,close,ticker
44863,44863,2021-05-31 03:43:00,3.45,BCP
44864,44864,2021-05-31 03:44:00,3.45,BCP
44865,44865,2021-05-31 03:45:00,3.45,BCP
44866,44866,2021-05-31 03:46:00,3.45,BCP
44867,44867,2021-05-31 03:47:00,3.45,BCP
44868,44868,2021-05-31 03:48:00,3.45,BCP
44869,44869,2021-05-31 03:49:00,3.45,BCP
44870,44870,2021-05-31 03:50:00,3.45,BCP
44871,44871,2021-05-31 03:51:00,3.45,BCP
44872,44872,2021-05-31 03:52:00,3.45,BCP
44873,44873,2021-05-31 03:53:00,3.45,BCP
44874,44874,2021-05-31 03:54:00,3.45,BCP
44875,44875,2021-05-31 03:55:00,3.45,BCP
44876,44876,2021-05-31 03:56:00,3.45,BCP
44877,44877,2021-05-31 03:57:00,3.45,BCP
44878,44878,2021-05-31 03:58:00,3.45,BCP
44879,44879,2021-05-31 03:59:00,3.45,BCP
44880,44880,2021-05-31 04:00:00,3.45,BCP
44881,44881,2021-05-31 04:01:00,3.45,BCP
44882,44882,2021-05-31 04:02:00,3.45,BCP
44883,44883,2021-05-31 04:03:00,3.45,BCP
44884,44884,2021-05-31 04:04:00,3.45,BCP
44885,44885,2021-05-31 04:05:00,3.45,BCP
44886,44886,2021-05-31 04:06:00,3.45,BCP
44887,44887,2021-05-31 04:07:00,3.45,BCP
44888,44888,2021-05-31 04:08:00,3.45,BCP
44889,44889,2021-05-31 04:09:00,3.45,BCP
44890,44890,2021-05-31 04:10:00,3.45,BCP
44891,44891,2021-05-31 04:11:00,3.45,BCP
44892,44892,2021-05-31 04:12:00,3.45,BCP
44893,44893,2021-05-31 04:13:00,3.45,BCP
44894,44894,2021-05-31 04:14:00,3.45,BCP
44895,44895,2021-05-31 04:15:00,3.45,BCP
44896,44896,2021-05-31 04:16:00,3.45,BCP
44897,44897,2021-05-31 04:17:00,3.45,BCP
44898,44898,2021-05-31 04:18:00,3.45,BCP
44899,44899,2021-05-31 04:19:00,3.45,BCP
44900,44900,2021-05-31 04:20:00,3.45,BCP
44901,44901,2021-05-31 04:21:00,3.45,BCP
44902,44902,2021-05-31 04:22:00,3.45,BCP
44903,44903,2021-05-31 04:23:00,3.45,BCP
44904,44904,2021-05-31 04:24:00,3.45,BCP
44905,44905,2021-05-31 04:25:00,3.45,BCP
44906,44906,2021-05-31 04:26:00,3.45,BCP
44907,44907,2021-05-31 04:27:00,3.45,BCP
44908,44908,2021-05-31 04:28:00,3.45,BCP
44909,44909,2021-05-31 04:29:00,3.45,BCP
44910,44910,2021-05-31 04:30:00,3.45,BCP
44911,44911,2021-05-31 04:31:00,3.45,BCP
44912,44912,2021-05-31 04:32:00,3.45,BCP
44913,44913,2021-05-31 04:33:00,3.45,BCP
44914,44914,2021-05-31 04:34:00,3.45,BCP
44915,44915,2021-05-31 04:35:00,3.45,BCP
44916,44916,2021-05-31 04:36:00,3.45,BCP
44917,44917,2021-05-31 04:37:00,3.45,BCP
44918,44918,2021-05-31 04:38:00,3.45,BCP
44919,44919,2021-05-31 04:39:00,3.45,BCP
44920,44920,2021-05-31 04:40:00,3.45,BCP
44921,44921,2021-05-31 04:41:00,3.45,BCP
44922,44922,2021-05-31 04:42:00,3.45,BCP
44923,44923,2021-05-31 04:43:00,3.45,BCP
44924,44924,2021-05-31 04:44:00,3.45,BCP
44925,44925,2021-05-31 04:45:00,3.45,BCP
44926,44926,2021-05-31 04:46:00,3.45,BCP
44927,44927,2021-05-31 04:47:00,3.45,BCP
44928,44928,2021-05-31 04:48:00,3.45,BCP
44929,44929,2021-05-31 04:49:00,3.45,BCP
44930,44930,2021-05-31 04:50:00,3.45,BCP
44931,44931,2021-05-31 04:51:00,3.45,BCP
44932,44932,2021-05-31 04:52:00,3.45,BCP
44933,44933,2021-05-31 04:53:00,3.45,BCP
44934,44934,2021-05-31 04:54:00,3.45,BCP
44935,44935,2021-05-31 04:55:00,3.45,BCP
44936,44936,2021-05-31 04:56:00,3.45,BCP
44937,44937,2021-05-31 04:57:00,3.45,BCP
44938,44938,2021-05-31 04:58:00,3.45,BCP
44939,44939,2021-05-31 04:59:00,3.45,BCP
44940,44940,2021-05-31 05:00:00,3.45,BCP
44941,44941,2021-05-31 05:01:00,3.45,BCP
44942,44942,2021-05-31 05:02:00,3.45,BCP
44943,44943,2021-05-31 05:03:00,3.45,BCP
44944,44944,2021-05-31 05:04:00,3.45,BCP
44945,44945,2021-05-31 05:05:00,3.45,BCP
44946,44946,2021-05-31 05:06:00,3.45,BCP
44947,44947,2021-05-31 05:07:00,3.45,BCP
44948,44948,2021-05-31 05:08:00,3.45,BCP
44949,44949,2021-05-31 05:09:00,3.45,BCP
44950,44950,2021-05-31 05:10:00,3.45,BCP
44951,44951,2021-05-31 05:11:00,3.45,BCP
44952,44952,2021-05-31 05:12:00,3.45,BCP
44953,44953,2021-05-31 05:13:00,3.45,BCP
44954,44954,2021-05-31 05:14:00,3.45,BCP
44955,44955,2021-05-31 05:15:00,3.45,BCP
44956,44956,2021-05-31 05:16:00,3.45,BCP
44957,44957,2021-05-31 05:17:00,3.45,BCP
44958,44958,2021-05-31 05:18:00,3.45,BCP
44959,44959,2021-05-31 05:19:00,3.45,BCP
44960,44960,2021-05-31 05:20:00,3.45,BCP
44961,44961,2021-05-31 05:21:00,3.45,BCP
44962,44962,2021-05-31 05:22:00,3.45,BCP
44963,44963,2021-05-31 05:23:00,3.45,BCP
44964,44964,2021-05-31 05:24:00,3.45,BCP
44965,44965,2021-05-31 05:25:00,3.45,BCP
44966,44966,2021-05-31 05:26:00,3.45,BCP
44967,44967,2021-05-31 05:27:00,3.45,BCP
44968,44968,2021-05-31 05:28:00,3.45,BCP
44969,44969,2021-05-31 05:29:00,3.45,BCP
44970,44970,2021-05-31 05:30:00,3.45,BCP
44971,44971,2021-05-31 05:31:00,3.45,BCP
44972,44972,2021-05-31 05:32:00,3.45,BCP
44973,44973,2021-05-31 05:33:00,3.45,BCP
44974,44974,2021-05-31 05:34:00,3.45,BCP
44975,44975,2021-05-31 05:35:00,3.45,BCP
44976,44976,2021-05-31 05:36:00,3.45,BCP
44977,44977,2021-05-31 05:37:00,3.45,BCP
44978,44978,2021-05-31 05:38:00,3.45,BCP
44979,44979,2021-05-31 05:39:00,3.45,BCP
44980,44980,2021-05-31 05:40:00,3.45,BCP
44981,44981,2021-05-31 05:41:00,3.45,BCP
44982,44982,2021-05-31 05:42:00,3.45,BCP
44983,44983,2021-05-31 05:43:00,3.45,BCP
44984,44984,2021-05-31 05:44:00,3.45,BCP
44985,44985,2021-05-31 05:45:00,3.45,BCP
44986,44986,2021-05-31 05:46:00,3.45,BCP
44987,44987,2021-05-31 05:47:00,3.45,BCP
44988,44988,2021-05-31 05:48:00,3.45,BCP
44989,44989,2021-05-31 05:49:00,3.45,BCP
44990,44990,2021-05-31 05:50:00,3.45,BCP
44991,44991,2021-05-31 05:51:00,3.45,BCP
44992,44992,2021-05-31 05:52:00,3.45,BCP
44993,44993,2021-05-31 05:53:00,3.45,BCP
44994,44994,2021-05-31 05:54:00,3.45,BCP
44995,44995,2021-05-31 05:55:00,3.45,BCP
44996,44996,2021-05-31 05:56:00,3.45,BCP
44997,44997,2021-05-31 05:57:00,3.45,BCP
44998,44998,2021-05-31 05:58:00,3.45,BCP
44999,44999,2021-05-31 05:59:00,3.45,BCP
45000,45000,2021-05-31 06:00:00,3.45,BCP
45001,45001,2021-05-31 06:01:00,3.45,BCP
45002,45002,2021-05-31 06:02:00,3.45,BCP
45003,45003,2021-05-31 06:03:00,3.45,BCP
45004,45004,2021-05-31 06:04:00,3.45,BCP
45005,45005,2021-05-31 06:05:00,3.45,BCP
45006,45006,2021-05-31 06:06:00,3.45,BCP
45007,45007,2021-05-31 06:07:00,3.45,BCP
45008,45008,2021-05-31 06:08:00,3.45,BCP
45009,45009,2021-05-31 06:09:00,3.45,BCP
45010,45010,2021-05-31 06:10:00,3.45,BCP
45011,45011,2021-05-31 06:11:00,3.45,BCP
45012,45012,2021-05-31 06:12:00,3.45,BCP
45013,45013,2021-05-31 06:13:00,3.45,BCP
45014,45014,2021-05-31 06:14:00,3.45,BCP
45015,45015,2021-05-31 06:15:00,3.45,BCP
45016,45016,2021-05-31 06:16:00,3.45,BCP
45017,45017,2021-05-31 06:17:00,3.45,BCP
45018,45018,2021-05-31 06:18:00,3.45,BCP
45019,45019,2021-05-31 06:19:00,3.45,BCP
45020,45020,2021-05-31 06:20:00,3.45,BCP
45021,45021,2021-05-31 06:21:00,3.45,BCP
45022,45022,2021-05-31 06:22:00,3.45,BCP
45023,45023,2021-05-31 06:23:00,3.45,BCP
45024,45024,2021-05-31 06:24:00,3.45,BCP
45025,45025,2021-05-31 06:25:00,3.45,BCP
45026,45026,2021-05-31 06:26:00,3.45,BCP
45027,45027,2021-05-31 06:27:00,3.45,BCP
45028,45028,2021-05-31 06:28:00,3.45,BCP
45029,45029,2021-05-31 06:29:00,3.45,BCP
45030,45030,2021-05-31 06:30:00,3.45,BCP
45031,45031,2021-05-31 06:31:00,3.45,BCP
45032,45032,2021-05-31 06:32:00,3.45,BCP
45033,45033,2021-05-31 06:33:00,3.45,BCP
45034,45034,2021-05-31 06:34:00,3.45,BCP
45035,45035,2021-05-31 06:35:00,3.45,BCP
45036,45036,2021-05-31 06:36:00,3.45,BCP
45037,45037,2021-05-31 06:37:00,3.45,BCP
45038,45038,2021-05-31 06:38:00,3.45,BCP
45039,45039,2021-05-31 06:39:00,3.45,BCP
45040,45040,2021-05-31 06:40:00,3.45,BCP
45041,45041,2021-05-31 06:41:00,3.45,BCP
45042,45042,2021-05-31 06:42:00,3.45,BCP
45043,45043,2021-05-31 06:43:00,3.45,BCP
45044,45044,2021-05-31 06:44:00,3.45,BCP
45045,45045,2021-05-31 06:45:00,3.45,BCP
45046,45046,2021-05-31 06:46:00,3.45,BCP
45047,45047,2021-05-31 06:47:00,3.45,BCP
45048,45048,2021-05-31 06:48:00,3.45,BCP
45049,45049,2021-05-31 06:49:00,3.45,BCP
45050,45050,2021-05-31 06:50:00,3.45,BCP
45051,45051,2021-05-31 06:51:00,3.45,BCP
45052,45052,2021-05-31 06:52:00,3.45,BCP
45053,45053,2021-05-31 06:53:00,3.45,BCP
45054,45054,2021-05-31 06:54:00,3.45,BCP
45055,45055,2021-05-31 06:55:00,3.45,BCP
45056,45056,2021-05-31 06:56:00,3.45,BCP
45057,45057,2021-05-31 06:57:00,3.45,BCP
45058,45058,2021-05-31 06:58:00,3.45,BCP
45059,45059,2021-05-31 06:59:00,3.45,BCP
45060,45060,2021-05-31 07:00:00,3.45,BCP
45061,45061,2021-05-31 07:01:00,3.45,BCP
45062,45062,2021-05-31 07:02:00,3.45,BCP
45063,45063,2021-05-31 07:03:00,3.45,BCP
45064,45064,2021-05-31 07:04:00,3.45,BCP
45065,45065,2021-05-31 07:05:00,3.45,BCP
45066,45066,2021-05-31 07:06:00,3.45,BCP
45067,45067,2021-05-31 07:07:00,3.45,BCP
45068,45068,2021-05-31 07:08:00,3.45,BCP
45069,45069,2021-05-31 07:09:00,3.45,BCP
45070,45070,2021-05-31 07:10:00,3.45,BCP
45071,45071,2021-05-31 07:11:00,3.45,BCP
45072,45072,2021-05-31 07:12:00,3.45,BCP
45073,45073,2021-05-31 07:13:00,3.45,BCP
45074,45074,2021-05-31 07:14:00,3.45,BCP
45075,45075,2021-05-31 07:15:00,3.45,BCP
45076,45076,2021-05-31 07:16:00,3.45,BCP
45077,45077,2021-05-31 07:17:00,3.45,BCP
45078,45078,2021-05-31 07:18:00,3.45,BCP
45079,45079,2021-05-31 07:19:00,3.45,BCP
45080,45080,2021-05-31 07:20:00,3.45,BCP
45081,45081,2021-05-31 07:21:00,3.45,BCP
45082,45082,2021-05-31 07:22:00,3.45,BCP
45083,45083,2021-05-31 07:23:00,3.45,BCP
45084,45084,2021-05-31 07:24:00,3.45,BCP
45085,45085,2021-05-31 07:25:00,3.45,BCP
45086,45086,2021-05-31 07:26:00,3.45,BCP
45087,45087,2021-05-31 07:27:00,3.45,BCP
45088,45088,2021-05-31 07:28:00,3.45,BCP
45089,45089,2021-05-31 07:29:00,3.45,BCP
45090,45090,2021-05-31 07:30:00,3.45,BCP
45091,45091,2021-05-31 07:31:00,3.45,BCP
45092,45092,2021-05-31 07:32:00,3.45,BCP
45093,45093,2021-05-31 07:33:00,3.45,BCP
45094,45094,2021-05-31 07:34:00,3.45,BCP
45095,45095,2021-05-31 07:35:00,3.45,BCP
45096,45096,2021-05-31 07:36:00,3.45,BCP
45097,45097,2021-05-31 07:37:00,3.45,BCP
45098,45098,2021-05-31 07:38:00,3.45,BCP
45099,45099,2021-05-31 07:39:00,3.45,BCP
45100,45100,2021-05-31 07:40:00,3.45,BCP
45101,45101,2021-05-31 07:41:00,3.45,BCP
45102,45102,2021-05-31 07:42:00,3.45,BCP
45103,45103,2021-05-31 07:43:00,3.45,BCP
45104,45104,2021-05-31 07:44:00,3.45,BCP
45105,45105,2021-05-31 07:45:00,3.45,BCP
45106,45106,2021-05-31 07:46:00,3.45,BCP
45107,45107,2021-05-31 07:47:00,3.45,BCP
45108,45108,2021-05-31 07:48:00,3.45,BCP
45109,45109,2021-05-31 07:49:00,3.45,BCP
45110,45110,2021-05-31 07:50:00,3.45,BCP
45111,45111,2021-05-31 07:51:00,3.45,BCP
45112,45112,2021-05-31 07:52:00,3.45,BCP
45113,45113,2021-05-31 07:53:00,3.45,BCP
45114,45114,2021-05-31 07:54:00,3.45,BCP
45115,45115,2021-05-31 07:55:00,3.45,BCP
